Indexes referenced by this run (116 total):
name                                                       size on disk  download size  path                                                                                                                                                     
---------------------------------------------------------  ------------  ------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------
beir-v1.0.0-trec-covid.flat                                           -      215.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-trec-covid.flat.20221116.505594.1aaf107b0787aa349deac92cb67d4230                         
beir-v1.0.0-bioasq.flat                                               -       23.1 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-bioasq.flat.20221116.505594.12728b3629817d352322f18b0cb6199b                             
beir-v1.0.0-nfcorpus.flat                                        7.4 MB        6.2 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-nfcorpus.flat.20221116.505594.eb7a6f1bb15071c2940bc50752d86626                           
beir-v1.0.0-nq.flat                                                   -        1.5 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-nq.flat.20221116.505594.0ba1ef0412d8a0fb56b4a04ecb13ef0b                                 
beir-v1.0.0-hotpotqa.flat                                             -        1.9 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-hotpotqa.flat.20221116.505594.3f41d640a8ebbcad4f598140750c24f8                           
beir-v1.0.0-fiqa.flat                                                 -       53.4 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-fiqa.flat.20221116.505594.d98ee6ebfc234657ecbd04226e8a7849                               
beir-v1.0.0-signal1m.flat                                             -      473.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-signal1m.flat.20221116.505594.93d901916b473351fbc04fdf12c5ba4f                           
beir-v1.0.0-trec-news.flat                                            -        2.4 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-trec-news.flat.20221116.505594.22e7752c3d0122c28013b33e5e2134ae                          
beir-v1.0.0-robust04.flat                                             -        1.6 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-robust04.flat.20221116.505594.d508fc770002a99a5dc3da3d0fa001b7                           
beir-v1.0.0-arguana.flat                                        12.3 MB       10.1 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-arguana.flat.20221116.505594.db59ef0cb74e9cfeac0ac735827381df                            
beir-v1.0.0-webis-touche2020.flat                                     -      715.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-webis-touche2020.flat.20221116.505594.f6419ddfd53c0bf1d76ea132b1c0c352                   
beir-v1.0.0-cqadupstack-android.flat                                  -       16.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-android.flat.20221116.505594.443e413b49c39de43a6cece96a7513c0                
beir-v1.0.0-cqadupstack-english.flat                                  -       23.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-english.flat.20221116.505594.f7db543f5bb56fa98c3c14224c6b96f2                
beir-v1.0.0-cqadupstack-gaming.flat                                   -       27.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-gaming.flat.20221116.505594.775169fd863d3e91076e1905799456ea                 
beir-v1.0.0-cqadupstack-gis.flat                                      -       41.4 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-gis.flat.20221116.505594.4c5be1c7026a61ca7866b4f28cac91fe                    
beir-v1.0.0-cqadupstack-mathematica.flat                              -       20.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-mathematica.flat.20221116.505594.43e2b33db7ecadc041165005aa5d4b6f            
beir-v1.0.0-cqadupstack-physics.flat                                  -       36.2 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-physics.flat.20221116.505594.765b8013595962e01600f4f851e8f16d                
beir-v1.0.0-cqadupstack-programmers.flat                              -       38.4 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-programmers.flat.20221116.505594.aa4fc9f29a0436a6e0942656274ceaf5            
beir-v1.0.0-cqadupstack-stats.flat                                    -       49.8 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-stats.flat.20221116.505594.d56538f56d982ce09961d4b680bd4dc5                  
beir-v1.0.0-cqadupstack-tex.flat                                      -       87.6 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-tex.flat.20221116.505594.36825b8428aa34fdaad7e420e120c101                    
beir-v1.0.0-cqadupstack-unix.flat                                     -       51.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-unix.flat.20221116.505594.961e386016c7eb7afa2bc26feb96902c                   
beir-v1.0.0-cqadupstack-webmasters.flat                               -       14.5 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-webmasters.flat.20221116.505594.f31625436dc6efc24b9c2ae1b0f2364e             
beir-v1.0.0-cqadupstack-wordpress.flat                                -       52.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-cqadupstack-wordpress.flat.20221116.505594.5a0035fbb6ccabd20fe0eed742dce0d0              
beir-v1.0.0-quora.flat                                                -       50.3 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-quora.flat.20221116.505594.48c95c2da43e24cc603695d3e6bfd779                              
beir-v1.0.0-dbpedia-entity.flat                                       -        1.9 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-dbpedia-entity.flat.20221116.505594.8ac66272fde08ff10491dc0ec52f17e2                     
beir-v1.0.0-scidocs.flat                                              -      177.9 MB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-scidocs.flat.20221116.505594.9555ecc5da399a73956d9302a98420fc                            
beir-v1.0.0-fever.flat                                                -        3.6 GB  /Users/lily/.cache/pyserini/indexes/lucene-inverted.beir-v1.0.0-fever.flat.20221116.505594.30b5a338f9f16669ed3dae3bae4e7b32                              
